condition	Time	fluorescence
20210119-F159L-G2-5-0-20	0	5545
20210119-F159L-G2-5-0-20	5	5569
20210119-F159L-G2-5-0-20	10	5548
20210119-F159L-G2-5-0-20	15	5596
20210119-F159L-G2-5-0-20	20	5537
20210119-F159L-G2-5-0-20	25	5575
20210119-F159L-G2-5-0-20	30	5620
20210119-F159L-G2-5-0-20	35	5609
20210119-F159L-G2-5-0-20	40	5612
20210119-F159L-G2-5-0-20	45	5581
20210119-F159L-G2-5-0-20	50	5583
20210119-F159L-G2-5-0-20	55	5631
20210119-F159L-G2-5-0-20	60	5514
20210119-F159L-G2-5-0-20	65	5633
20210119-F159L-G2-5-0-20	70	5603
20210119-F159L-G2-5-0-20	75	5625
20210119-F159L-G2-5-0-20	80	5574
20210119-F159L-G2-5-0-20	85	5583
20210119-F159L-G2-5-0-20	90	5657
20210119-F159L-G2-5-0-20	95	5617
20210119-F159L-G2-5-0-20	100	5635
20210119-F159L-G2-5-0-20	105	5609
20210119-F159L-G2-5-0-20	110	5690
20210119-F159L-G2-5-0-20	115	5684
20210119-F159L-G2-5-0-20	120	5688
20210119-F159L-G2-5-0-20	125	5667
20210119-F159L-G2-5-0-20	130	5687
20210119-F159L-G2-5-0-20	135	5638
20210119-F159L-G2-5-0-20	140	5698
20210119-F159L-G2-5-0-20	145	5670
20210119-F159L-G2-5-0-20	150	5670
20210119-F159L-G2-5-0-20	155	5676
20210119-F159L-G2-5-0-20	160	5707
20210119-F159L-G2-5-0-20	165	5717
20210119-F159L-G2-5-0-20	170	5701
20210119-F159L-G2-5-0-20	175	5685
20210119-F159L-G2-5-0-20	180	5706
20210119-F159L-G2-5-0-20	185	5650
20210119-F159L-G2-5-0-20	190	5653
20210119-F159L-G2-5-0-20	195	5676
20210119-F159L-G2-5-0-20	200	5652
20210119-F159L-G2-5-0-20	205	5653
20210119-F159L-G2-5-0-20	210	5705
20210119-F159L-G2-5-0-20	215	5654
20210119-F159L-G2-5-0-20	220	5705
20210119-F159L-G2-5-0-20	225	5690
20210119-F159L-G2-5-0-20	230	5698
20210119-F159L-G2-5-0-20	235	5721
20210119-F159L-G2-5-0-20	240	5702
20210119-F159L-G2-5-0-20	245	5707
20210119-F159L-G2-5-0-20	250	5684
20210119-F159L-G2-5-0-20	255	5692
20210119-F159L-G2-5-0-20	260	5737
20210119-F159L-G2-5-0-20	265	5765
20210119-F159L-G2-5-0-20	270	5767
20210119-F159L-G2-5-0-20	275	5716
20210119-F159L-G2-5-0-20	280	5696
20210119-F159L-G2-5-0-20	285	5716
20210119-F159L-G2-5-0-20	290	5742
20210119-F159L-G2-5-0-20	295	5728
20210119-F159L-G2-5-0-20	300	5774
20210119-F159L-G2-5-0-20	305	5757
20210119-F159L-G2-5-0-20	310	5763
20210119-F159L-G2-5-0-20	315	5715
20210119-F159L-G2-5-0-20	320	5757
20210119-F159L-G2-5-0-20	325	5785
20210119-F159L-G2-5-0-20	330	5788
20210119-F159L-G2-5-0-20	335	5776
20210119-F159L-G2-5-0-20	340	5746
20210119-F159L-G2-5-0-20	345	5815
20210119-F159L-G2-5-0-20	350	5840
20210119-F159L-G2-5-0-20	355	5755
20210119-F159L-G2-5-0-20	360	5792
20210119-F159L-G2-5-0-20	365	5777
20210119-F159L-G2-5-0-20	370	5799
20210119-F159L-G2-5-0-20	375	5789
20210119-F159L-G2-5-0-20	380	5792
20210119-F159L-G2-5-0-20	385	5821
20210119-F159L-G2-5-0-20	390	5787
20210119-F159L-G2-5-0-20	395	5773
20210119-F159L-G2-5-0-20	400	5807
20210119-F159L-G2-5-0-20	405	5779
20210119-F159L-G2-5-0-20	410	5751
20210119-F159L-G2-5-0-20	415	5836
20210119-F159L-G2-5-0-20	420	5769
20210119-F159L-G2-5-0-20	425	5793
20210119-F159L-G2-5-0-20	430	5839
20210119-F159L-G2-5-0-20	435	5755
20210119-F159L-G2-5-0-20	440	5828
20210119-F159L-G2-5-0-20	445	5835
20210119-F159L-G2-5-0-20	450	5789
20210119-F159L-G2-5-0-20	455	5826
20210119-F159L-G2-5-0-20	460	5827
20210119-F159L-G2-5-0-20	465	5796
20210119-F159L-G2-5-0-20	470	5824
20210119-F159L-G2-5-0-20	475	5831
20210119-F159L-G2-5-0-20	480	5872
20210119-F159L-G2-5-0-20	485	5846
20210119-F159L-G2-5-0-20	490	5776
20210119-F159L-G2-5-0-20	495	5911
20210119-F159L-G2-5-0-20	500	5822
20210119-F159L-G2-5-0-20	505	5853
20210119-F159L-G2-5-0-20	510	5849
20210119-F159L-G2-5-0-20	515	5841
